BINOMIAL,AOH_name,is.migratory,excluded,Order_,F2019_Iucn_Red_List_Category,Model_prevalence,Point_prevalence,Number_of_Validation_Points,Point_validation
Aphrastura spinicauda,Aphrastura_spinicauda,no,no,PASSERIFORMES,LC,0.873085153009793,0.990415335463259,313,Yes
Artisornis metopias,Artisornis_metopias,no,no,PASSERIFORMES,LC,0.387835429167141,0,0,No
Artamus minor,Artamus_minor,no,no,PASSERIFORMES,LC,0.486899950399638,0.938271604938272,81,Yes
Batis crypta,Batis_crypta,no,no,PASSERIFORMES,LC,0.673251778319546,0,0,No
Batis minor,Batis_minor,no,no,PASSERIFORMES,LC,0.856357927795878,0,0,No
Batis senegalensis,Batis_senegalensis,no,no,PASSERIFORMES,LC,0.922539824046293,0,0,No
Corvus mellori,Corvus_mellori,no,no,PASSERIFORMES,LC,0.954751718340731,0.996136509980683,1553,Yes
Corvus nasicus,Corvus_nasicus,no,no,PASSERIFORMES,LC,0.749884071655163,1,35,Yes
Chersomanes albofasciata,Chersomanes_albofasciata,no,no,PASSERIFORMES,LC,0.887006810353437,1,16,Yes
Cisticola textrix,Cisticola_textrix,no,no,PASSERIFORMES,LC,0.0343422729014002,0,0,No
Climacteris erythrops,Climacteris_erythrops,no,no,PASSERIFORMES,LC,0.677578806857226,1,54,Yes
Clytorhynchus vitiensis,Clytorhynchus_vitiensis,no,no,PASSERIFORMES,LC,0.892425014148524,0,0,No
Cnemotriccus fuscatus,Cnemotriccus_fuscatus,no,no,PASSERIFORMES,LC,0.822971755892468,0.96,100,Yes
Conopophila albogularis,Conopophila_albogularis,no,no,PASSERIFORMES,LC,0.852896702187655,1,83,Yes
Coracina bicolor,Coracina_bicolor,no,no,PASSERIFORMES,NT,0.706536907402565,0,0,No
Coracina papuensis,Coracina_papuensis,no,no,PASSERIFORMES,LC,0.607105379211157,0.988235294117647,425,Yes
Corvus albus,Corvus_albus,no,no,PASSERIFORMES,LC,0.992398866872458,0.976506639427988,979,Yes
Corvus validus,Corvus_validus,no,no,PASSERIFORMES,NT,0.982548393215571,0,0,No
Cyanocorax melanocyaneus,Cyanocorax_melanocyaneus,no,no,PASSERIFORMES,LC,0.681001885704017,0.946268656716418,335,Yes
Cyanocorax yncas,Cyanocorax_yncas,no,no,PASSERIFORMES,LC,0.723695484627123,0.896512935883015,889,Yes
Crateroscelis nigrorufa,Crateroscelis_nigrorufa,no,no,PASSERIFORMES,LC,0.699467374793706,0,0,No
Dicrurus forficatus,Dicrurus_forficatus,no,no,PASSERIFORMES,LC,0.411640786164405,1,32,Yes
Eremomela badiceps,Eremomela_badiceps,no,no,PASSERIFORMES,LC,0.827794930575178,0,0,No
Eremomela icteropygialis,Eremomela_icteropygialis,no,no,PASSERIFORMES,LC,0.274922665287424,0.285714285714286,21,Yes
Eremomela usticollis,Eremomela_usticollis,no,no,PASSERIFORMES,LC,0.932935981936354,0,0,No
Eremopterix leucotis,Eremopterix_leucotis,no,no,PASSERIFORMES,LC,0.879052581700502,0.9375,32,Yes
Eremopterix nigriceps,Eremopterix_nigriceps,no,no,PASSERIFORMES,LC,0.285241199681289,0.297297297297297,37,Yes
Eugerygone rubra,Eugerygone_rubra,no,no,PASSERIFORMES,LC,0.773995756465616,0,0,No
Geocerthia serrana,Geocerthia_serrana,no,no,PASSERIFORMES,LC,0.106978106957398,0,0,No
Gerygone chrysogaster,Gerygone_chrysogaster,no,no,PASSERIFORMES,LC,0.922664890745228,0,0,No
Gerygone mouki,Gerygone_mouki,no,no,PASSERIFORMES,LC,0.710380497697413,0.98974358974359,195,Yes
Glycichaera fallax,Glycichaera_fallax,no,no,PASSERIFORMES,LC,0.932064475292102,0,0,No
Glyphorynchus spirurus,Glyphorynchus_spirurus,no,no,PASSERIFORMES,LC,0.87438777294526,0.96797153024911,281,Yes
Grallaria capitalis,Grallaria_capitalis,no,no,PASSERIFORMES,LC,0.355833317763943,0,0,No
Hirundo neoxena,Hirundo_neoxena,yes,no,PASSERIFORMES,LC,0.328981959986179,0.761432414256893,5948,Yes
Hylophilus poicilotis,Hylophilus_poicilotis,no,no,PASSERIFORMES,LC,0.542438656391303,1,59,Yes
Hypothymis helenae,Hypothymis_helenae,no,no,PASSERIFORMES,NT,0.790068552905674,0,0,No
Lalage leucopygialis,Lalage_leucopygialis,no,no,PASSERIFORMES,LC,0.891478357958513,0,0,No
Lalage maculosa,Lalage_maculosa,no,no,PASSERIFORMES,LC,0.911102417423325,1,11,Yes
Laniarius leucorhynchus,Laniarius_leucorhynchus,no,no,PASSERIFORMES,LC,0.0994542254976866,0,0,No
Laniocera hypopyrra,Laniocera_hypopyrra,no,no,PASSERIFORMES,LC,0.80964493851418,0.933333333333333,15,Yes
Lanius gubernator,Lanius_gubernator,no,no,PASSERIFORMES,LC,0.488823794962493,0,0,No
Lanius bucephalus,Lanius_bucephalus,yes,no,PASSERIFORMES,LC,0.888989870572852,0.987179487179487,78,Yes
Lanius senator,Lanius_senator,yes,no,PASSERIFORMES,LC,0.918655207917289,0.982417582417582,910,Yes
Lanius souzae,Lanius_souzae,no,no,PASSERIFORMES,LC,0.353645793659965,0,0,No
Lanius vittatus,Lanius_vittatus,yes,no,PASSERIFORMES,LC,0.818944841964206,0.97134670487106,349,Yes
Locustella naevia,Locustella_naevia,yes,no,PASSERIFORMES,LC,0.552452770310726,0.970588235294118,136,Yes
Lophorina superba,Lophorina_superba,no,no,PASSERIFORMES,LC,0.922535911269365,0,0,No
Machaerirhynchus flaviventer,Machaerirhynchus_flaviventer,no,no,PASSERIFORMES,LC,0.894453705416454,1,30,Yes
Malurus cyanocephalus,Malurus_cyanocephalus,no,no,PASSERIFORMES,LC,0.930181100980528,0,0,No
Machaerirhynchus nigripectus,Machaerirhynchus_nigripectus,no,no,PASSERIFORMES,LC,0.691254680814082,0,0,No
Macrosphenus kempi,Macrosphenus_kempi,no,no,PASSERIFORMES,LC,0.600074448575794,0,0,No
Manucodia ater,Manucodia_ater,no,no,PASSERIFORMES,LC,0.942576098154244,0,0,No
Manucodia comrii,Manucodia_comrii,no,no,PASSERIFORMES,LC,0.973319497254479,0,0,No
Melanocharis longicauda,Melanocharis_longicauda,no,no,PASSERIFORMES,LC,0.721670927735469,0,0,No
Melanocharis nigra,Melanocharis_nigra,no,no,PASSERIFORMES,LC,0.950653311534655,0,0,No
Melanocorypha maxima,Melanocorypha_maxima,no,no,PASSERIFORMES,LC,0.402360246569349,0,0,No
Melanocharis versteri,Melanocharis_versteri,no,no,PASSERIFORMES,LC,0.776055515435334,0,0,No
Melanocorypha bimaculata,Melanocorypha_bimaculata,yes,no,PASSERIFORMES,LC,0.880183184560412,1,13,Yes
Melidectes ochromelas,Melidectes_ochromelas,no,no,PASSERIFORMES,LC,0.982837283932111,0,0,No
Melilestes megarhynchus,Melilestes_megarhynchus,no,no,PASSERIFORMES,LC,0.967798765892934,0,0,No
Meliphaga aruensis,Meliphaga_aruensis,no,no,PASSERIFORMES,LC,0.944865888942563,0,0,No
Melithreptus validirostris,Melithreptus_validirostris,no,no,PASSERIFORMES,LC,0.703659581686577,1,22,Yes
Microeca hemixantha,Microeca_hemixantha,no,no,PASSERIFORMES,NT,0.976289948978002,0,0,No
